,School,Draft Value,Exp. Draft Value,DVOE,
1,Ohio State,4015.4,2205.1,1810.3,
2,Alabama,4635.7,3161.5,1474.2,
3,Clemson,2739.7,1361.3,1378.4,
4,Washington,1809.8,900.7,909.1,
5,Iowa,1205.7,470.1,735.6,
6,LSU,2758.7,2040.9,717.8,
7,Louisville,1160.1,532.9,627.2,
8,UCF,707.7,287.3,420.4,
9,Texas A&M,1648.9,1279.9,369.0,
10,NC State,756.3,451.1,305.2,
11,Notre Dame,1791.0,1505.1,285.9,
12,Boston College,557.4,296.2,261.2,
13,Utah,572.5,358.7,213.8,
14,Stanford,1340.5,1144.0,196.5,
15,Western Michigan,350.4,162.6,187.8,
16,Penn State,1077.4,906.1,171.3,
17,Louisiana Tech,287.9,146.1,141.8,
18,Memphis,301.6,164.8,136.8,
19,Virginia Tech,801.5,664.9,136.6,
20,Wisconsin,609.1,475.5,133.6,
21,Houston,459.7,328.3,131.4,
22,Utah State,166.0,72.3,93.7,
23,UT San Antonio,150.6,66.3,84.3,
24,Northern Illinois,193.3,111.3,82.0,
25,Western Kentucky,192.1,113.9,78.2,
26,Louisiana,173.9,112.7,61.2,
27,Florida,2082.8,2031.8,51.0,
28,Connecticut,182.5,136.5,46.0,
29,Duke,380.6,340.7,39.9,
30,Boise State,289.2,250.8,38.4,
31,Delaware,46.1,11.8,34.3,
32,Wyoming,107.9,77.5,30.4,
33,Kansas State,230.1,203.8,26.3,
34,UMass,81.0,58.7,22.3,
35,San Diego State,199.3,178.1,21.2,
36,Fordham,21.5,4.3,17.2,
37,Oklahoma State,572.6,557.1,15.5,
38,Charlotte,54.5,41.9,12.6,
39,Oklahoma,1359.1,1348.0,11.1,
40,Northern Iowa,24.0,13.4,10.6,
41,Tulsa,159.0,151.2,7.8,
42,Florida Intl,8.0,0.8,7.2,
43,Oregon,1035.2,1028.6,6.6,
44,TCU,564.9,561.6,3.3,
45,Youngstown State,14.0,11.0,3.0,
46,Temple,171.7,169.3,2.4,
47,North Dakota State,14.3,13.9,0.4,
48,Bemidji State,0.0,0.0,0.0,
49,Bluefield College,0.0,0.0,0.0,
50,Dayton,0.0,0.0,0.0,
51,Drake,0.0,0.0,0.0,
52,Malone,0.0,0.0,0.0,
53,Merrimack,0.0,0.0,0.0,
54,Midwestern State,0.0,0.0,0.0,
55,North Greenville,0.0,0.0,0.0,
56,Tuskegee,0.0,0.0,0.0,
57,Emporia State,0.0,0.1,-0.1,
58,Mississippi Valley State,0.0,0.1,-0.1,
59,Northern Michigan,0.0,0.1,-0.1,
60,Shorter,0.0,0.1,-0.1,
61,Tusculum,0.0,0.1,-0.1,
62,Benedict College,0.0,0.2,-0.2,
63,Central Connecticut,0.0,0.2,-0.2,
64,Chadron State,0.0,0.2,-0.2,
65,Butler,0.0,0.3,-0.3,
66,Florida Tech,0.0,0.3,-0.3,
67,Southwest Minnesota State,0.0,0.3,-0.3,
68,Texas A&M-Kingsville,0.0,0.3,-0.3,
69,West Texas A&M,0.0,0.3,-0.3,
70,Western New Mexico,0.0,0.3,-0.3,
71,Lenoir-Rhyne,0.0,0.7,-0.7,
72,North Alabama,0.0,0.7,-0.7,
73,Northwest Missouri State,0.0,0.7,-0.7,
74,Northwestern Oklahoma State,0.0,0.7,-0.7,
75,Valparaiso,0.0,0.7,-0.7,
76,West Alabama,0.0,0.7,-0.7,
77,Notre Dame College,0.0,0.8,-0.8,
78,Stetson,0.0,0.8,-0.8,
79,Faulkner,0.0,0.8,-0.8,
80,Kentucky Wesleyan,0.0,0.8,-0.8,
81,Morehead State,0.0,0.8,-0.8,
82,San Diego,0.0,0.8,-0.8,
83,West Georgia,0.0,0.8,-0.8,
84,Azusa Pacific,0.0,0.9,-0.9,
85,Fort Hays State,0.0,0.9,-0.9,
86,Northeastern State,0.0,0.9,-0.9,
87,Sacred Heart,0.0,0.9,-0.9,
88,Mississippi College,0.0,1.0,-1.0,
89,Delta State,0.0,1.1,-1.1,
90,Ferris State,0.0,1.1,-1.1,
91,Morgan State,0.0,1.1,-1.1,
92,North Carolina A&T,0.0,1.1,-1.1,
93,Campbell,0.0,1.2,-1.2,
94,Gallaudet,0.0,1.3,-1.3,
95,St Francis (PA),0.0,1.3,-1.3,
96,Fairmont State,0.0,1.4,-1.4,
97,Marist,0.0,1.4,-1.4,
98,Iowa Wesleyan,0.0,1.5,-1.5,
99,Maine,0.0,1.5,-1.5,
100,Alabama A&M,0.0,1.6,-1.6,
101,Wagner,0.0,1.6,-1.6,
102,Howard,0.0,1.9,-1.9,
103,Wingate,0.0,2.1,-2.1,
104,Newberry,0.0,2.4,-2.4,
105,Grambling,0.0,2.5,-2.5,
106,Georgetown,0.0,2.6,-2.6,
107,Nicholls,0.0,2.7,-2.7,
108,Elon,0.0,2.8,-2.8,
109,Robert Morris,0.0,2.9,-2.9,
110,South Dakota State,8.0,10.9,-2.9,
111,Sacramento State,0.0,3.0,-3.0,
112,New Hampshire,0.0,3.1,-3.1,
113,Bucknell,0.0,3.1,-3.1,
114,Incarnate Word,0.0,3.1,-3.1,
115,Brown,0.0,3.2,-3.2,
116,Henderson State,0.0,3.2,-3.2,
117,Norfolk State,0.0,3.2,-3.2,
118,Eastern Illinois,0.0,3.3,-3.3,
119,Houston Baptist,0.0,3.4,-3.4,
120,Jacksonville,0.0,3.4,-3.4,
121,Tarleton State,0.0,3.4,-3.4,
122,VMI,0.0,3.4,-3.4,
123,Alabama State,0.0,3.5,-3.5,
124,North Dakota,0.0,3.5,-3.5,
125,North Carolina Central,0.0,3.7,-3.7,
126,Southern Utah,0.0,3.7,-3.7,
127,Valdosta State,0.0,3.7,-3.7,
128,Idaho State,0.0,3.8,-3.8,
129,Duquesne,0.0,3.9,-3.9,
130,Cornell,0.0,4.0,-4.0,
131,Delaware State,0.0,4.0,-4.0,
132,Hampton,0.0,4.0,-4.0,
133,Washington State,306.7,310.8,-4.1,
134,Presbyterian College,0.0,4.1,-4.1,
135,Prairie View,0.0,4.4,-4.4,
136,Colgate,0.0,4.4,-4.4,
137,Gardner-Webb,0.0,4.5,-4.5,
138,Lafayette,0.0,4.6,-4.6,
139,Southeastern Louisiana,0.0,4.7,-4.7,
140,Texas Southern,0.0,4.9,-4.9,
141,East Tennessee State,0.0,4.9,-4.9,
142,Missouri State,0.0,5.0,-5.0,
143,Cal Poly,0.0,5.0,-5.0,
144,Jackson State,0.0,5.1,-5.1,
145,Holy Cross,0.0,5.5,-5.5,
146,Savannah State,0.0,5.5,-5.5,
147,Northwestern State,0.0,5.6,-5.6,
148,Southern,0.0,5.7,-5.7,
149,Charleston Southern,0.0,5.8,-5.8,
150,Montana State,0.0,6.2,-6.2,
151,UT Martin,0.0,6.3,-6.3,
152,Western Illinois,0.0,6.4,-6.4,
153,Kennesaw State,0.0,6.7,-6.7,
154,Dartmouth,0.0,6.9,-6.9,
155,South Dakota,0.0,7.2,-7.2,
156,The Citadel,0.0,7.2,-7.2,
157,Lamar,0.0,7.3,-7.3,
158,Grand Valley State,0.0,7.4,-7.4,
159,Weber State,0.0,7.5,-7.5,
160,Florida A&M,0.0,7.5,-7.5,
161,Lehigh,0.0,7.7,-7.7,
162,Central Arkansas,0.0,7.7,-7.7,
163,Western Carolina,0.0,7.8,-7.8,
164,Wofford,0.0,7.8,-7.8,
165,Indiana State,0.0,8.5,-8.5,
166,Monmouth,0.0,8.6,-8.6,
167,Rhode Island,0.0,8.6,-8.6,
168,Southeast Missouri State,0.0,8.6,-8.6,
169,Murray State,0.0,8.7,-8.7,
170,Tennessee Tech,0.0,8.9,-8.9,
171,Furman,0.0,8.9,-8.9,
172,Eastern Kentucky,0.0,9.1,-9.1,
173,William & Mary,0.0,9.2,-9.2,
174,Richmond,0.0,9.3,-9.3,
175,Alcorn State,0.0,9.3,-9.3,
176,McNeese,0.0,9.6,-9.6,
177,Stony Brook,0.0,9.6,-9.6,
178,Albany,0.0,9.7,-9.7,
179,Towson,0.0,9.8,-9.8,
180,Bethune-Cookman,0.0,10.0,-10.0,
