,Coach,Draft Value,Exp. Draft Value,DVOE,
1,Nick Saban,4635.7,3161.5,1474.2,
2,Dabo Swinney,2739.7,1361.3,1378.4,
3,Urban Meyer,2585.7,1263.6,1322.1,
4,Chris Petersen,1569.9,675.2,894.7,
5,Kirk Ferentz,1205.7,470.1,735.6,
6,Ed Orgeron,2233.1,1596.5,636.6,
7,Ryan Day,1429.7,941.5,488.2,
8,Kevin Sumlin,1309.0,852.0,457.0,
9,Bobby Petrino,727.8,315.7,412.1,
10,Dave Doeren,756.3,451.1,305.2,
11,Brian Kelly,1791.0,1505.1,285.9,
12,Paul Chryst,734.2,480.9,253.3,
13,Lincoln Riley,1023.1,770.0,253.1,
14,George O'Leary,346.1,100.7,245.4,
15,Dan Mullen,1233.0,997.9,235.1,
16,Mark Helfrich,696.7,476.5,220.2,
17,Tim Lester,319.2,102.7,216.5,
18,Kyle Whittingham,572.5,358.7,213.8,
19,Lorenzo Ward,267.8,59.6,208.2,
20,David Shaw,1340.5,1144.0,196.5,
21,Steve Addazio,472.2,285.8,186.4,
22,Josh Heupel,332.2,150.8,181.4,
23,James Franklin,1077.4,906.1,171.3,
24,Dana Holgorsen,600.9,429.8,171.1,
25,Jim Grobe,259.4,105.9,153.5,
26,Kirby Smart,1630.6,1482.0,148.6,
27,Skip Holtz,287.9,146.1,141.8,
28,Al Golden,450.3,309.3,141.0,
29,Mike Sanford,150.5,25.4,125.1,
30,Frank Wilson,150.6,35.1,115.5,
31,Billy Napier,155.4,53.0,102.4,
32,Jim Mora,748.1,645.9,102.2,
33,Justin Fuente,675.0,575.5,99.5,
34,Steve Spurrier,267.5,185.6,81.9,
35,Rod Carey,223.2,141.9,81.3,
36,Kevin Wilson,175.1,97.6,77.5,
37,Mark Dantonio,618.7,541.8,76.9,
38,Bob Diaco,121.2,51.6,69.6,
39,Mike Leach,439.0,373.5,65.5,
40,Matt Canada,112.1,63.6,48.5,
41,Major Applewhite,100.1,57.6,42.5,
42,David Cutcliffe,380.6,340.7,39.9,
43,Bryan Harsin,289.2,250.8,38.4,
44,Philip Montgomery,159.0,122.0,37.0,
45,Rocky Long,174.3,138.6,35.7,
46,Bill Snyder,143.0,108.7,34.3,
47,Les Miles,596.2,563.0,33.2,
48,Will Healy,54.5,22.7,31.8,
49,Jay Norvell,87.0,55.2,31.8,
50,Jeff Hafley,85.2,53.9,31.3,
51,Frank Beamer,161.8,131.1,30.7,
52,Craig Bohl,107.9,77.5,30.4,
53,Tim DeRuyter,88.1,59.5,28.6,
54,Walt Bell,60.6,35.1,25.5,
55,Thomas Hammock,63.3,38.3,25.0,
56,Jim Harbaugh,1436.2,1411.3,24.9,
57,Shawn Clark,40.1,19.6,20.5,
58,Jerry Kill,93.9,78.3,15.6,
59,Mike Gundy,572.6,557.1,15.5,
60,Jimmy Lake,239.9,225.5,14.4,
61,D.J. Durkin,106.2,94.2,12.0,
62,Gary Patterson,564.9,561.6,3.3,
63,Hugh Freeze,456.2,453.2,3.0,
64,Mike Price,11.0,8.1,2.9,
65,Mike Bobo,77.3,76.4,0.9,
66,Turner Gill,0.0,0.5,-0.5,
67,Larry Coker,0.0,0.7,-0.7,
68,Joe Moglia,0.0,0.9,-0.9,
69,Dennis Franchione,0.0,1.4,-1.4,
70,Tyson Summers,0.0,2.4,-2.4,
71,Tom Arth,8.5,11.6,-3.1,
72,Mark Whipple,20.4,23.6,-3.2,
73,Trent Miles,0.0,4.1,-4.1,
74,Jimbo Fisher,1825.4,1832.7,-7.3,
75,Chris Klieman,87.1,95.1,-8.0,
76,Tracy Claeys,25.4,34.2,-8.8,
77,Jamey Chadwell,9.9,19.0,-9.1,
78,Eli Drinkwitz,111.1,121.1,-10.0,
79,Dave Aranda,95.6,106.8,-11.2,
80,Bobby Wilder,27.9,42.5,-14.6,
81,Bobby Hauck,0.0,14.9,-14.9,
82,Dan Enos,0.0,15.3,-15.3,
83,Kalen DeBoer,11.2,26.5,-15.3,
84,Ricky Rahne,0.0,15.8,-15.8,
85,Scott Satterfield,172.7,188.7,-16.0,
86,Jeff Quinn,0.0,16.5,-16.5,
87,Larry Blakeney,0.0,17.3,-17.3,
88,Dave Clawson,257.1,274.9,-17.8,
89,Dan McCarney,0.0,18.6,-18.6,
90,Brad Lambert,0.0,19.2,-19.2,
91,Mike MacIntyre,182.6,202.2,-19.6,
92,Pete Lembo,9.5,29.1,-19.6,
93,Curtis Johnson,22.7,42.9,-20.2,
94,Todd Berry,0.0,20.6,-20.6,
95,Danny Gonzales,0.0,21.1,-21.1,
96,Nunzio Campanile,11.9,33.6,-21.7,
97,Larry Fedora,445.6,468.1,-22.5,
98,Marcus Arroyo,0.0,22.7,-22.7,
