,Coach,Draft Valu,Exp. Draft Value,DVOE,
1,Urban Meyer,3978.1,2392.8,1585.3,
2,Nick Saban,4733.2,3206.2,1527.0,
3,Dabo Swinney,2747.6,1368.6,1379.0,
4,Kirk Ferentz,1215.6,473.5,742.1,
5,Mike Sherman,891.9,197.3,694.6,
6,Chris Petersen,981.9,464.6,517.3,
7,Steve Sarkisian,1070.4,703.7,366.7,
8,Kliff Kingsbury,573.5,251.5,322.0,
9,Steve Addazio,512.2,193.4,318.8,
10,Dave Doeren,640.1,321.9,318.2,
11,Justin Fuente,496.4,211.6,284.8,
12,Brian Kelly,1783.1,1502.4,280.7,
13,George O'Leary,416.8,171.3,245.5,
14,Chip Kelly,696.7,476.5,220.2,
15,Sonny Dykes,502.1,289.4,212.7,
16,David Shaw,1256.9,1049.6,207.3,
17,P.J. Fleck,328.6,131.9,196.7,
18,Randy Edsall,518.1,335.1,183.0,
19,Luke Fickell,461.8,287.4,174.4,
20,Lincoln Riley,355.7,181.4,174.3,
21,Jim Harbaugh,970.5,799.7,170.8,
22,Kyle Whittingham,511.5,354.7,156.8,
23,Bobby Petrino,560.5,404.8,155.7,
24,Jim McElwain,703.9,561.5,142.4,
25,Kirby Smart,709.1,591.0,118.1,
26,Dave Christensen,159.0,42.3,116.7,
27,Larry Coker,150.6,35.1,115.5,
28,Philip Montgomery,159.0,44.1,114.9,
29,Al Golden,826.0,711.1,114.9,
30,Dave Wannstedt,179.9,68.6,111.3,
31,James Franklin,822.8,719.1,103.7,
32,Charlie Strong,978.3,882.4,95.9,
33,Major Applewhite,107.9,26.1,81.8,
34,Ed Orgeron,938.4,860.3,78.1,
35,Tom Herman,274.9,199.2,75.7,
36,Mark Hudspeth,173.9,101.6,72.3,
37,Scott Frost,142.7,72.9,69.8,
38,Pat Hill,113.8,48.5,65.3,
39,Matt Wells,105.8,42.7,63.1,
40,Rick Neuheisel,316.6,255.9,60.7,
41,Jim Grobe,225.4,168.8,56.6,
42,Tracy Claeys,99.8,47.3,52.5,
43,Les Miles,1543.4,1491.2,52.2,
44,Paul Wulff,110.7,60.5,50.2,
45,Rocky Long,199.3,157.9,41.4,
46,David Cutcliffe,380.6,340.7,39.9,
47,Norm Chow,92.0,52.3,39.7,
48,Mark Whipple,80.1,41.7,38.4,
49,Will Muschamp,1222.8,1186.3,36.5,
50,Craig Bohl,67.7,36.1,31.6,
51,Chad Morris,95.9,65.3,30.6,
52,Jerry Kill,224.4,196.8,27.6,
53,Jim Tressel,150.2,123.4,26.8,
54,Everett Withers,169.4,142.9,26.5,
55,Bill Snyder,230.1,203.8,26.3,
56,Dan Hawkins,64.0,42.8,21.2,
57,Robbie Caldwell,68.8,47.7,21.1,
58,Mark Stoops,391.1,370.2,20.9,
59,Butch Davis,140.0,119.2,20.8,
60,Steve Fairchild,83.3,62.5,20.8,
61,Chris Creighton,49.2,30.0,19.2,
62,Charlie Partridge,68.1,49.5,18.6,
63,David Beaty,67.6,53.5,14.1,
64,Mike Gundy,564.7,550.8,13.9,
65,Bill O'Brien,171.8,158.8,13.0,
66,Gary Andersen,269.0,259.9,9.1,
67,Mike MacIntyre,187.4,178.6,8.8,
68,Seth Littrell,22.2,13.6,8.6,
69,Charley Molnar,20.4,16.9,3.5,
70,Carl Pelini,25.9,23.9,2.0,
71,Larry Porter,43.2,42.7,0.5,
72,Brad Lambert,22.2,22.2,0.0,
73,Rod Carey,63.3,64.5,-1.2,
74,Tony Levine,113.8,115.6,-1.8,
75,Nick Rolovich,19.2,21.3,-2.1,
76,Jamey Chadwell,0.0,4.6,-4.6,
77,Scott Satterfield,40.1,45.1,-5.0,
78,Todd Dodge,0.0,6.4,-6.4,
79,Stan Parrish,9.5,17.4,-7.9,
80,Willie Fritz,45.1,53.0,-7.9,
81,Tyson Summers,15.0,23.0,-8.0,
82,George Barlow,0.0,8.6,-8.6,
83,Paul Pasqualoni,61.3,70.0,-8.7,
84,Jay Norvell,0.0,9.0,-9.0,
85,Jeff Brohm,48.3,57.3,-9.0,
86,Garrick McGee,18.4,27.7,-9.3,
87,Todd Monken,31.0,40.3,-9.3,
88,Geoff Collins,0.0,10.0,-10.0,
89,Chad Lunsford,0.0,10.6,-10.6,
