ranking,EDV,EDM
1,94.3,13071548.34
2,76.4,10546540.43
3,68.5,9911053.406
4,64.9,8640079.354
5,60.5,8172169.641
6,55.6,7789859.569
7,51,7466621.008
8,48,7186619.031
9,46.4,6939639.784
10,45.1,6718709.319
11,43.8,6518853.402
12,42.7,6336399.246
13,41.7,6168557.692
14,40.7,6013160.686
15,39.8,5868489.533
16,39,5733158.708
17,38.2,5606034.939
18,37.4,5486179.461
19,36.7,5372805.905
20,36.1,5265248.996
21,35.4,5162940.9
22,34.8,5065393.08
23,34.2,4972182.179
24,33.7,4882938.923
25,33.2,4797339.283
26,32.6,4715097.369
27,32.2,4635959.676
28,31.7,4559700.363
29,31.2,4486117.374
30,30.8,4415029.21
31,30.4,4346272.231
32,29.9,4279698.385
33,29.5,4215173.294
34,29.2,4152574.616
35,28.8,4091790.65
36,28.4,4032719.138
37,28.1,3975266.229
38,27.7,3919345.582
39,27.4,3864877.584
40,27,3811788.673
41,26.7,3760010.733
42,26.4,3709480.577
43,26.1,3660139.477
44,25.8,3611932.757
45,25.5,3564809.425
46,25.2,3518721.856
47,24.9,3473625.494
48,24.7,3429478.6
49,24.4,3386242.017
50,24.1,3343878.96
51,23.9,3302354.831
52,23.6,3261637.047
53,23.4,3221694.886
54,23.1,3182499.353
55,22.9,3144023.044
56,22.7,3106240.04
57,22.4,3069125.796
58,22.2,3032657.051
59,22,2996811.734
60,21.8,2961568.887
61,21.6,2926908.594
62,21.3,2892811.908
63,21.1,2859260.792
64,20.9,2826238.063
65,20.7,2795450.178
66,20.5,2758564.563
67,20.3,2722709.448
68,20.1,2687841.299
69,20,2653919.025
70,19.8,2620903.809
71,19.6,2588758.95
72,19.4,2557449.724
73,19.2,2526943.249
74,19,2497208.362
75,18.9,2468215.513
76,18.7,2439936.655
77,18.5,2412345.153
78,18.4,2385415.695
79,18.2,2359124.209
80,18,2333447.789
81,17.9,2308364.625
82,17.7,2283853.936
83,17.6,2259895.911
84,17.4,2236471.653
85,17.2,2213563.125
86,17.1,2191153.103
87,16.9,2169225.13
88,16.8,2147763.472
89,16.6,2126753.083
90,16.5,2106179.559
91,16.4,2086029.114
92,16.2,2066288.54
93,16.1,2046945.178
94,15.9,2027986.894
95,15.8,2009402.046
96,15.7,1991179.461
97,15.5,1973308.415
98,15.4,1955778.605
99,15.3,1938580.132
100,15.1,1921703.481
101,15,1905139.5
102,14.9,1888879.387
103,14.7,1872914.669
104,14.6,1857237.19
105,14.5,1841839.093
106,14.4,1826712.808
107,14.3,1811851.042
108,14.1,1797246.76
109,14,1782893.179
110,13.9,1768783.754
111,13.8,1754912.168
112,13.7,1741272.323
113,13.5,1727858.329
114,13.4,1714664.499
115,13.3,1701685.333
116,13.2,1688915.518
117,13.1,1676349.916
118,13,1663983.557
119,12.9,1651811.633
120,12.8,1639829.491
121,12.7,1628032.628
122,12.5,1616416.683
123,12.4,1604977.431
